loan_id,paid_at,amount,transaction_type
834148,2023-11-25 17:44:00,200000.0,Deposit
4028,2019-02-09 16:55:00,1036300.0,
4798,2019-04-25 15:50:00,1228500.0,
2082,2018-08-22 10:41:00,50000.0,
3802,2019-01-05 16:00:00,1384600.0,
2082,2018-09-05 07:53:00,50000.0,
2296,2018-07-24 10:12:00,50000.0,
2296,2018-07-13 23:14:00,50000.0,
4851,2019-05-01 18:28:00,312200.0,
4851,2019-04-20 14:05:00,100000.0,
2296,2018-07-14 18:26:00,50000.0,
838416,2023-11-25 17:52:00,380000.0,Deposit
8810,2019-10-08 08:07:00,30000.0,
2443,2018-08-15 18:31:00,100000.0,
2082,2018-09-05 15:16:00,10000.0,
2082,2018-09-06 11:58:00,7700.0,
2780,2018-09-30 16:33:00,751300.0,
4028,2019-03-11 17:06:00,1036300.0,
2296,2018-07-28 11:08:00,76900.0,
2443,2018-08-28 11:45:00,287000.0,
2082,2018-06-26 15:41:00,150000.0,
3511,2018-12-01 19:05:00,1124700.0,
2082,2018-06-27 13:08:00,80000.0,
2296,2018-07-19 06:07:00,50000.0,
2082,2018-08-29 21:30:00,120000.0,
2082,2018-08-20 14:59:00,50000.0,
4028,2019-03-26 12:29:00,1036300.0,
4552,2019-03-31 19:51:00,239600.0,
3144,2018-10-31 11:16:00,810200.0,
2443,2018-08-12 11:59:00,100000.0,
2082,2018-09-01 15:57:00,50000.0,
619,2017-09-19 13:05:00,10000.0,
619,2017-09-22 09:08:00,10000.0,
619,2017-09-30 14:43:00,10000.0,
619,2017-10-03 09:36:00,20000.0,
619,2017-10-05 19:59:00,20000.0,
619,2017-10-09 12:32:00,20000.0,
619,2017-10-11 06:45:00,40000.0,
619,2017-10-11 15:43:00,67600.0,
1731,2018-03-02 07:43:00,390800.0,
1222,2017-11-08 09:35:00,5000.0,
1222,2017-11-10 15:19:00,100000.0,
1222,2017-11-13 09:18:00,7000.0,
1222,2017-11-14 05:38:00,30000.0,
1222,2017-11-16 14:20:00,10000.0,
1222,2017-11-17 05:33:00,94100.0,
1308,2017-12-04 14:31:00,50000.0,
1308,2017-12-05 15:41:00,50000.0,
1308,2017-12-08 07:56:00,231500.0,
1540,2018-01-19 08:17:00,30000.0,
1540,2018-01-25 11:55:00,20000.0,
1540,2018-01-29 09:06:00,90000.0,
1540,2018-01-30 07:23:00,186200.0,
1432,2017-12-22 14:00:00,20000.0,
1432,2017-12-26 08:45:00,79800.0,
1432,2018-01-03 07:14:00,229900.0,
1678,2018-02-06 13:00:00,200000.0,
1678,2018-02-11 11:36:00,192600.0,
1856,2018-03-26 15:04:00,195700.0,
1856,2018-04-07 12:53:00,400000.0,
1750,2018-02-27 14:01:00,83400.0,
1750,2018-03-10 08:44:00,300000.0,
1819,2018-03-31 07:42:00,235600.0,
1819,2018-04-30 13:55:00,180000.0,
1819,2018-05-01 15:37:00,55000.0,
1819,2018-05-02 11:14:00,6000.0,
1819,2018-05-08 15:00:00,230200.0,
2082,2018-05-23 15:43:00,160000.0,
2082,2018-06-01 07:51:00,170000.0,
2082,2018-06-07 06:32:00,200000.0,
4798,2019-05-25 15:44:00,1228500.0,
5423,2019-06-05 20:47:00,525400.0,
5751,2019-06-10 09:03:00,455400.0,
4798,2019-06-24 15:56:00,1228500.0,
6077,2019-07-05 09:20:00,578700.0,
6834,2019-07-29 19:43:00,1170000.0,
7022,2019-08-04 17:01:00,688300.0,
7753,2019-08-21 12:07:00,100000.0,
7870,2019-09-03 09:12:00,28800.0,
7753,2019-09-04 16:27:00,588300.0,
7870,2019-09-19 12:28:00,200000.0,
6834,2019-09-30 17:03:00,2916600.0,
8810,2019-10-11 14:21:00,314200.0,
9137,2019-10-24 17:31:00,276100.0,
9747,2019-11-14 11:35:00,424500.0,
9660,2019-11-15 18:36:00,1000000.0,
10106,2019-11-18 09:58:00,67000.0,
11271,2019-11-19 14:43:00,73600.0,
10106,2019-11-23 18:20:00,400000.0,
11271,2019-11-26 21:06:00,7000.0,
11271,2019-11-29 18:49:00,10000.0,
11271,2019-12-05 13:49:00,150000.0,
13234,2019-12-09 05:09:00,24600.0,
11271,2019-12-09 10:04:00,333000.0,
11755,2019-12-09 10:42:00,100000.0,
9660,2019-12-09 14:33:00,300000.0,
13234,2019-12-11 08:16:00,20000.0,
13234,2019-12-12 07:26:00,20000.0,
13234,2019-12-13 05:32:00,20000.0,
13701,2019-12-13 16:48:00,3000.0,
13234,2019-12-14 08:10:00,10000.0,
13701,2019-12-14 13:07:00,20000.0,
13701,2019-12-16 09:03:00,5300.0,
11755,2019-12-17 22:13:00,473600.0,
13234,2019-12-19 15:15:00,15000.0,
13701,2019-12-20 07:50:00,6000.0,
13701,2019-12-20 19:29:00,5000.0,
13701,2019-12-21 17:48:00,65000.0,
13234,2019-12-22 14:13:00,25000.0,
13234,2019-12-24 17:59:00,30000.0,
13701,2019-12-25 07:05:00,44000.0,
13234,2019-12-28 07:02:00,50000.0,
13234,2019-12-30 09:27:00,15000.0,
13234,2020-01-01 07:14:00,19000.0,
13234,2020-01-02 06:06:00,65000.0,
13701,2020-01-02 06:06:00,50000.0,
13234,2020-01-02 14:21:00,9000.0,
13234,2020-01-03 10:23:00,45000.0,
13234,2020-01-03 18:46:00,29000.0,
13173,2020-01-04 09:27:00,578700.0,
13234,2020-01-04 09:41:00,99000.0,
13234,2020-01-04 12:40:00,79000.0,
14834,2020-01-04 15:05:00,80000.0,
13507,2020-01-04 16:24:00,745700.0,
15326,2020-01-08 13:28:00,58000.0,
15326,2020-01-11 06:59:00,110000.0,
15326,2020-01-12 13:23:00,60000.0,
15326,2020-01-13 04:39:00,100000.0,
15326,2020-01-13 07:45:00,31400.0,
14341,2020-01-13 12:17:00,688300.0,
14912,2020-01-15 04:36:00,30000.0,
9660,2020-01-15 16:00:00,2569100.0,
16292,2020-01-16 16:16:00,71100.0,
14912,2020-01-19 06:26:00,15000.0,
14912,2020-01-19 10:46:00,15000.0,
14940,2020-01-20 15:43:00,100000.0,
14912,2020-01-20 16:05:00,20000.0,
16292,2020-01-21 09:58:00,100000.0,
14940,2020-01-21 16:11:00,100000.0,
14912,2020-01-22 05:55:00,11400.0,
16292,2020-01-23 08:30:00,32000.0,
14940,2020-01-23 15:59:00,100000.0,
14912,2020-01-26 15:46:00,15000.0,
16790,2020-01-27 03:52:00,5000.0,
16292,2020-01-28 10:45:00,105000.0,
14834,2020-01-28 17:31:00,230000.0,
